day,account,carousel,concept,occasion,format,hook,caption,posted_at,views_48h,likes,comments,shares,saves,profile_visits,link_clicks,notes
,tt-couple,50,it's october 3rd,1-year anniversary (3 Oct),text carousel,on october 3rd he asked me what day it was,he waited a whole year to text me this 😭 if you know you know,,,,,,,,,post the morning of 3 October
,tt-couple,49,birthday week,her birthday,text carousel,i told him its my birthday week,birthday week or birthday DAY? he said it's not a thing 😭,,,,,,,,,
,tt-couple,52,check the date,her birthday,text carousel,he said happy birthday and i said its tomorrow,i forgot my own birthday and he didn't 😭 have u ever forgotten ur own birthday?,,,,,,,,,
,tt-couple,53,the vibes,first autumn (3 months),text carousel,i asked for a pumpkin patch date,"he said ""whats the difference"" 😭 is the pumpkin patch date mandatory or am i dramatic",,,,,,,,,late Sept to Oct
,tt-couple,54,i cancelled it,1-year anniversary,instagram dm carousel,our anniversary dinner got cancelled,he cancelled our anniversary dinner on purpose 😭 cozy night in or fancy dinner?,,,,,,,,,
,tt-him,51,ketchup and mustard,Halloween,instagram dm carousel,she wants a couples costume,"she wore me down 😭 ketchup or mustard, which one is he?",,,,,,,,,15-31 Oct; his side
,tt-couple,55,not halloween. birthday.,her birthday (31 Oct),text carousel,my birthday is on halloween,my birthday is on halloween 😭 halloween birthday: cursed or iconic?,,,,,,,,,20-31 Oct
,tt-him,56,cuffing season,asking her out,text carousel,she asked if im just cuffing season,she thought i was just cuffing season 😭 is cuffing season real or an excuse?,,,,,,,,,Oct-Nov; his side
,tt-couple,45,i think im,3 months (first i love u),text carousel,i tried to say i love u and unsent it,"who said it first, me or him 😭",,,,,,,,,unsent-message line; post first
,tt-couple,42,wrong number,1-year anniversary,text carousel,"a year ago a stranger texted me ""hey is this jake""",we met because he texted the wrong number 😭 who is jake,,,,,,,,,post on or after 15 Sept
,tt-him,44,call me,his birthday,text carousel,she said she was busy at 23:57,"she was ""busy"" at 23:57 😭 do men deserve this or nah",,,,,,,,,variation of 30 (the viral one); his side
,tt-couple,41,sweet baby,her birthday,text carousel,he forgot my birthday until 7pm,the pet names didnt work. the link did 😭 which one would've worked on u,,,,,,,,,pet-name format
,tt-couple,43,highk,6 months,instagram dm carousel,i said i lowk miss him,highk is crazy 😭 are u lowk or highk,,,,,,,,,instagram DMs
,tt-couple,48,top 5,3 months,text carousel,i asked if im his favourite person,gary is number 2 😭 whos in ur boyfriends top 5,,,,,,,,,comedy
,tt-him,47,hoodie,2 months,instagram dm carousel,she asked if i want my hoodie back,she made me this 😭 do u give the hoodie back or keep it,,,,,,,,,instagram DMs; his side
,tt-couple,46,11:11,1-year anniversary (long distance),text carousel,he texts me goodnight at 11:11 every night,long distance for a year and he did this 😭 how far away is urs,,,,,,,,,
,tt-couple,39,62 days,two months,text carousel,he said happy 2 month anniversary and i said thats not real,he made me something for 2 MONTHS 😭 is 2 months an anniversary or am i being crazy?,,,,,,,,,variation of 30 (the viral one)
,tt-couple,40,one year of tuesdays,1-year anniversary,text carousel,he let me think he forgot our anniversary,he let me think he forgot our 1 year 😭 mad or not mad?,,,,,,,,,variation of 30 (the viral one)
,tt-couple,35,come find me,her birthday (long distance),crying photo + chat,"hes 1,071 miles away and still made me cry on my birthday",long distance and he still made me cry on my birthday 😭 how far apart are u and urs?,,,,,,,,,her POV
,tt-couple,36,no funeral required,his birthday,crying photo + chat,i told her men only get flowers at their funeral,she heard me say men only get flowers at their funeral 😭 boys when did u last get flowers?,,,,,,,,,his POV (or tt-him)
,tt-couple,37,why i like u,6 months,crying photo + chat,i asked him why he even likes me. hes had a list since week 2,asked him why he likes me and he said no idea 😭 what would be #1 on ur list?,,,,,,,,,her POV
,tt-couple,38,the drive home,1-year anniversary,crying photo + chat,she found the song from the first time i drove her home,our 1 year and she found the song from the first time i drove her home 😭 whats ur song with ur person?,,,,,,,,,his POV (or tt-him)
1,tt-couple,30,first one to say it,her birthday,text carousel,he had to be the first one to say it,he had to be the first one to say it 😭 whos first to text u on ur birthday?,,,,,,,,,
1,tt-ideas,slideshow 1,he wants nothing for his birthday,his birthday,problem slideshow,"If he says he wants nothing for his birthday, do this",birthday gift ideas for boyfriend,,,,,,,,,
2,tt-couple,29,365 days of u,1-year anniversary,text carousel,"he said ""1 year of what"" 😭",1 year today 🥹 how long have u been with urs?,,,,,,,,,
2,tt-ideas,slideshow 2,before our first anniversary,1-year anniversary,problem slideshow,I wish someone told me this before our first anniversary,anniversary gift ideas for her,,,,,,,,,
3,tt-couple,33,for the boy who wanted nothing,his birthday,text carousel,he said he wanted nothing for his birthday,he said he wanted nothing for his birthday 🥹 men deserve this too,,,,,,,,,
3,tt-ideas,slideshow 3,stop spending £100,anniversary,problem slideshow,Stop spending £100 on your anniversary,anniversary gift ideas cheap,,,,,,,,,
4,tt-couple,31,table for two,first-date anniversary,text carousel,a year since i was 15 mins late to our first date,a year since our first date. i was 15 mins late. he says 20. where was ur first date? 🥡,,,,,,,,,
4,tt-ideas,slideshow 4,long distance gift ideas,long distance,problem slideshow,Long distance gift ideas that actually made her cry,long distance gift ideas,,,,,,,,,
5,tt-couple,24,green flag or bare minimum,his birthday,text carousel,,he sent me this before i even asked. green flag or bare minimum?,,,,,,,,,
5,tt-ideas,slideshow 5,last-minute anniversary gifts,anniversary,problem slideshow,Last-minute anniversary gifts that don't look last-minute,last minute anniversary gift ideas,,,,,,,,,
6,tt-couple,25,where i post u (part 1),just because,text carousel,,he never posts me. then he sent this. should i open it or am i still mad 😭,,,,,,,,,
6,tt-ideas,slideshow 6,birthday card when bad at words,his birthday,problem slideshow,What to write in his birthday card when you're bad at words,what to write in a birthday card for your boyfriend,,,,,,,,,
7,tt-couple,26,where i post u (part 2),just because,text carousel,,"part 2. ""this is where i post u"" 😭 @jordan",,,,,,,,,tag his account
7,tt-ideas,(best slideshow so far),,,problem slideshow,(new hook from the bank),,,,,,,,,,
8,tt-couple,30,first one to say it,her birthday,text carousel,"23:58 ""stay awake 2 more mins"" 😭",he had to be the first one to say it 😭 whos first to text u on ur birthday?,,,,,,,,,
8,tt-ideas,(best slideshow so far),,,problem slideshow,(another new hook),,,,,,,,,,
9,tt-couple,29,365 days of u,1-year anniversary,text carousel,our 1 year and he counted how many times i stole the duvet,1 year today 🥹 how long have u been with urs?,,,,,,,,,
9,tt-ideas,(best slideshow so far),,,problem slideshow,(another new hook),,,,,,,,,,
10,tt-couple,33,for the boy who wanted nothing,his birthday,text carousel,men deserve this too 🥹,he said he wanted nothing for his birthday 🥹 men deserve this too,,,,,,,,,
